이름,대카테고리,중카테고리,키워드
예약률 높이는 웹사이트 구성,마케팅,예약기능,
현금영수증,"관리, 기능",쇼핑,#현금영수증 #뱅크다
"카피라이팅, AI화하다",마케팅,카피라이팅,#챗GPT #뤼튼 #아이작
팝업 VS 모달,기능,모달,#모달 #팝업
디자인모드 꿀기능 2탄,디자인,,#위젯링크 #소셜공유링크 #대표이미지 #갤러리스타일
시즈널 마케팅,마케팅,시즈멀 마케팅,#시즈널 프로모션 #시즌한정패키지 #기간한정이벤트
관리자페이지 통한 최적화 작업,"관리, 마케팅",SEO 작업,#메뉴별 대표이미지 #카카오톡 캐시 #페북캐시 #판매채널확대 #아임웹애드
검색결과 상위에 내 사이트 노출하기,마케팅,SEO 작업,#사이트 이름과 설명 #이미지 대체 텍스트 #콘텐츠 업데이트
매력있는 상세페이지 제작,마케팅,상세페이지,#GIF #배송시간 #리뷰활용
상품 썸네일 디자인하기,디자인,썸네일,#상품썸네일
쇼핑 기획전 구성법,마케팅,쇼핑,#기획전
아임웹 관리자 페이지 뜯어보기,관리,"기본설정, 보안, 쇼핑",#복사방지 #모바일확대 #재고차감 #접속제한
CRM 마케팅,마케팅,CRM,#팝업 #배너
"숙박업 홈페이지, 아임웹 예약기능",기능,예약기능,#숙박업 #렌터카 #당일여행 #각종대여
쇼핑몰 TO DO LIST 2탄,관리,쇼핑,#도메인 #소셜로그인 #PG등록
디자인 레퍼런스 사이트,디자인,,
이메일 마케팅,마케팅,이메일 마케팅,
디자인모드 꿀기능 : 유튜브 쇼츠,디자인,"마케팅, 쇼핑, 유튜브",#유튜브쇼츠
디자인모드 꿀기능,디자인,,#애니메이션 #상세페이지 #이미지위젯
페이스북 마케팅,마케팅,FBE,#페이스북 숍스 #페이스북카탈로그
단골고객 늘리기,마케팅,리텐션,#쿠폰발행 #SMS #팝업/배너
정기구독,기능,정기구독,#정기구독 #등록방법 #PG사
리뷰 관리법,마케팅,리뷰,#포토리뷰 #리부혜택 #리마인더
토스페이먼츠 특징,관리,간편결제,#토스페이먼츠
관리자페이지 속 마케팅 기능,관리,마케팅,#전환추적 #팝업 #배너 #구매평리마인드
"다날, 삼성페이",기능,간편결제,#다날 #삼성페이
쇼핑몰 TO DO LIST 1탄,관리,쇼핑,#푸터정보 #SSL #통신판매업신고
리텐션 마케팅,마케팅,리텐션,#기간한정쿠폰 #SMS발송 #회원그룹 #멤버십
회원가입 없이 빠른 결제,기능,간편결제,#네이버페이